"id","profileName","text","date","title","rating","images","helpful","Size name","Colour","Pattern name"
"R34ZA1GTNXS1YP","ritesh","
  helloPlease dont take any apple products online , especially if the seller is Appario Retail Private Ltd.I bought iphone 11 last month and suudenly today (17/08/2020) the phone got switched off and not getting switched on again.It was neither damaged nor it got wet in rains . I am very furious because i thought its an apple product and product will be robust.  My first impression on apple products is worst becuase of online reseller.This online reseller dont send the correct product instead they will send defective pieces or old piesces.My loss is 60000 rs. These people are worst and i request other guys not to take apple products from online or from the above mentioned reseller.
","Reviewed in India on 17 August 2020","not a good product",1,"","471",,,
"R2FL4VTOA1UFMQ","Madhusudan","
  If its just looks what you want then go ahead and buy...but its performance..then suggest you guys to back off.I observed back panel heating up issue especially while taking photos and using maps. [No, I have not put any additional back panels fyi].After spending 60K+ and seeing this kind of heating issue is completely unacceptable from a brand like Apple. I have approached Apple care [Service Request No: SKC4616] and they said they have to send the device to Bangalore  for further diagnosis. When I called just before writing this review, they are quoting they are not working today due to Sunday they are closed and blah blah...Apple wake up. Show some sense of urgency towards customer issues.Ok...folks its upto you to buy or not, just sharing my own experience so it will help who are thinking to buy this.
","Reviewed in India on 17 November 2019","Dont rush to buy and waste your money",1,"","525",,,
"R2J02ZQT639WFF","Ghar Sayan","
  In my opinion, don’t  think much about the phone , just get it . I am attaching night-mode on and off pictures. Check the differencePros-1. Best Camera2. Best Security3. Long day Battery Life4. Touch ID improved5. Its an iPhone after all . 😍6. Best Night-mode support7. Best Processors A13 Bionic ChipCons-1. Display could have been OLED in this price but if doesn’t matter . This retina lcd is really awesome.2. Slightly bulky and weighty - if u r shifting from iPhone 7 or 83. Thick bezelsGuys , I am both Samsung as well as iPhone fan. But this price range I would suggest you to order iPhone 11. Its really a great deal.And if u r a long time iPhone user . Then this will be really great for you.Got for it Guys !!!
","Reviewed in India on 28 September 2019","Best iPhone ever | Super Night Mode | Super Camera | Yellow",5,"https://images-na.ssl-images-amazon.com/images/I/51aqBi-z04L.jpg
https://images-na.ssl-images-amazon.com/images/I/616TVdZ4a9L.jpg
https://images-na.ssl-images-amazon.com/images/I/61HejzCJtsL.jpg
https://images-na.ssl-images-amazon.com/images/I/61QIHYEq98L.jpg
https://images-na.ssl-images-amazon.com/images/I/61qNYCCTs1L.jpg
https://images-na.ssl-images-amazon.com/images/I/71TmUBoJgkL.jpg
https://images-na.ssl-images-amazon.com/images/I/71Y7Hj1mQ-L.jpg","377",,,
"R1HWMMIJ21WTZR","Bhawna juyal","
  Its my first iphone and now I’m feeling like I’ve wasted my money coz it has heating issues
","Reviewed in India on 10 October 2019","Heating issue",1,"","382",,,
"R3FZWAU9I8B7Q5","Vinayak","
  I found this black spot while doing set up. Given me defective piece & now not able to give for replacement also. It's a very next day of purchase.
","Reviewed in India on 6 June 2020","Black spot found on the new phone.",1,"https://images-na.ssl-images-amazon.com/images/I/617gl7Y8JnL.jpg","267",,,
"R386FDLMAZDUPG","Shipra Goyal","
  Samsung s10 is much better than iphone 11
","Reviewed in India on 23 October 2019","Samsung s10 is better than iphone",1,"","294",,,
"RXAOS1IG04N09","gaurav garg","
  hiI had purchased this phone in first week of June 2020 trusting amazon.But this phone is defective, it failed to update, failed to connect to serversFinding no other solution, I used old version of iOS hoping it will work finebut it is not working fine, everytime it hangs and I am not able to worktoday while putting it for charging there was a blast in the battery and since then it is not workingI have just exceeded return period, perhaps my 70 thousand is now gone down the drain
","Reviewed in India on 24 June 2020","Defective model",1,"","214",,,
"RIKWEAISQSPF8","Keshav Alur","
  This being my second Apple device. No, I haven't sold my kidney as I got this for about 58K. I have been an avid Android Fanboy using 1+ as my daily driver for the past 5 years. The switch using move to iOS and the entire transition using Drive, Photos etc.. It has been seamless. I may miss a thing or two about 1+ with what a stock Android would offer. Couple of my colleagues argued how good the latest 1+ phones are. Two things that 1+ will never be good at. Photography and Intermittent lag. Yes, a phone with 12 Gigs of ram lags!Now, off to the device.ProsThe device's build quality is amazing. The detail given in to every tiny little thing should be noted. Even the Sim tray is made out of metal.Speakers sound better than my previous phone.A couple of you might argue about LCD with lower resolution on the device. I certainly cannot differentiate that though. Color blind maybe!OS - There's no other mobile OS that is this speedy, updated on time basis and supports device for 5 long years. Yeah, you can root your phone and rock new Lineage OS on your Droid but the circumstances of rooting, Magisk cannot help Banking apps work.Camera - There are no other camera phones that are this good. Night mode is amazing. Such low light pictures turn out be so good. Note Huawei phones no longer have Google services yes you can sideload Play Store but that's still pain the arse. Next Pixel isn't going to be cheap either.ConsRemember an iPhone is always treated as an asset than a phone. Ask someone who has dropped his or her phone on a hard surface and the pain that it takes to have it repaired or replaced.Couple of them have pointed out that the device is a bit thick. Yes it is. Honestly slim phones cannot have more juice within. You have to sacrifice either of them.No 3.5MM means you can't charge and listen to music i.e. move on to wireless headphones.Overall an amazing phone that's worth every penny. And a phone that I'd be using for the next 5 years for sure just like my 1+ One The Legend. Electronic goods are always depreciating unlike Gold or Land and fits the needs of checking messages and making calls is all you need.
","Reviewed in India on 13 October 2019","iPhone XR with better Camera and Internals",5,"","214",,,
"R1COWE853UTM46","D.mohanbabu","
  Not good when I charge mobilebody was earth (current shock) and today charger not working I don’t no how to replace
","Reviewed in India on 30 October 2019","Not good product",1,"","251",,,
"R3GAAEGJW33YTQ","kIRTAN","
  Pathetic Amazon service!! Don't buy online. My back camera has problem,  shows many green dots. Apple store is of little help. Amazon as expected,  is of NO help. Waiting to get this resolved. I preferred this over pixel just for camera!!!  Sigh!!!
","Reviewed in India on 24 November 2019","Not recommended",1,"","240",,,
"RKLO3B0EMEJ4H","Vishal","
  This I phone11 model {black} looks like Chinese phone.I suggest don't purchase and go with Iphone's other model.
","Reviewed in India on 31 October 2019","Look likes Chinese mobile phone {waste of my hardships}",1,"","196",,,
"RMRGUTUGHBHLF","Deekshant sharma","
  The worst phn I have bought,started to heat up badly the very first time I switched it on ,Moreover it heats up everytime when I switch it on.Tried returning it to apple they denied,don't buy it from amazon
","Reviewed in India on 20 November 2019","Don't buy from Amazon",1,"","195",,,
"RXVA7P6611NP0","Aditya KHADYE","
  I Ordered on 24 January 2020 already i am having three issues in that bluetooth is not working, Phone is getting hanged and battery back up is to low the product is defect it's just 6 Days i have purchased it's so bad experience which i never thaught off .
","Reviewed in India on 30 January 2020","Bad quality product",1,"https://images-na.ssl-images-amazon.com/images/I/71vzZ+BmzuL.jpg","176",,,
"RKDCJ73XLDQMZ","Aishwarya","
  Bought iPhone from seller Appario Retail. Phone had multiple issues such as WiFi, mobile network (no network for 10 days), facelock was working on multiple people etc in just 3 months of use.I have given my phone to apple service center and its been 10 days and its not fixed.STAY very careful before buying from this seller.Read mutilple bad reviews and I think seller is selling defective phones.
","Reviewed in India on 16 October 2020","Don't buy from Appario Reseller",1,"","108",,,
"R2D5EQ35MU2WX9","Amazon Customer","
  There is a minor Scratch to the glass on the front end it’s only visible when viewed in light properly it seems like a thread from cloth also when you touch that area nothing is felt . Is exchange of the item possible ? Although since it’s Amazon fulfilled I was care free that there would no Damage only after 2 days I was able to notice the damage although everything else looks fine . It would be great if exchange is made possible coz at the end of the day so much money is put into it . If not then I think I would not be buying any electronics product  from Amazon it better to buy from store co I can check everything on the spot .
","Reviewed in India on 21 July 2020","Minor damage to the product",1,"https://images-na.ssl-images-amazon.com/images/I/611WDJOtUuL.jpg","122",,,
"R29G445FH8E64Q","Jaspreet","
  The Apple iPhone 11 that I received today had already been opened. I got it without any deal or plastic cover.I don’t know if it’s damaged inside I am not touching itPlease take it back and give me a completely new packed one.I am extremely upset about this.
","Reviewed in India on 10 August 2020","iPhone 11 already opened/used",1,"","111",,,
"R6N4O63FKL63H","Anup K.","
  This is my 5th iPhone, iPhone 3G, 3Gs, 4S, 6 and now 11. Have used iPhone 6 more than 3.8 years.It is true when you keen to precision then nothing else can compete with the iPhone.Love the Portrait modes, wide-angle and the screen size.iPhone ring, a new tone is available now.Jio took only 30 minutes to activate the Esim.
","Reviewed in India on 30 September 2019","The feel of it!",5,"","116",,,
"RQDT2QMIANM29","Saranya Gannavarapu","
  Worst ever! Battery health starts to drop within 3 months of usage. Camera for pictures suck when compared to OnePlus or other android phones. Phone gets heated up within 10-15 minutes of talking over calls or internet use. Apple customer care doesn’t do anything but say this is best IPhone ever and everything is good with it.Also, I bought on EMI for 6 months with HDFC credit card with a 5000rs discount but i have to pay the EMI for the full amount gets cut every month.
","Reviewed in India on 15 October 2020","IT’S A TRAP",1,"","95",,,
"R1TAFV6ZIA1B9S","Om Bishnoi","
  This will help you more. See if you are planning to buy iPhone 11. I will say. Yes.But there are some plans I just want to disclose before you buy.1) If you are an existing iPhone X/XS/XS Max/ XR user, better you guys do not think it to buy. You guys have more or less better gadget.2) If you are an android user and planning to buy premium phone. I will suggest them to please buy iPhone instead of buying an Android. I bet you will never go back to android after using IOS.Now I want to share my 2 month experience with iPhone 11.1) Battery backup is 19 hours as I used it for 1 week.2) Mind blowing Camera. Best is slow motion.3) Very Handy. And look premium. If you have huge money then please go for Pro max.4) Display is more or less good. Worth it because it is not Premium display and you are not paying for 11 Pro max.5) You will love the sound when your phone is ringing.6) Front camera is awesome and must try slow motion selfie. That's it. Should provide Fast Charging.
","Reviewed in India on 30 September 2019","Terrific purchase: iPhone 11 White 128GB",5,"https://images-na.ssl-images-amazon.com/images/I/61-DAAr4HWL.jpg
https://images-na.ssl-images-amazon.com/images/I/61L8zDfrH8L.jpg
https://images-na.ssl-images-amazon.com/images/I/61u3H0YiwuL.jpg","123",,,
"R2PAO4BZGHQ88J","anita m.","
  Got it on 8 th Aug did not open it due to corona . Had to travel  to hp so put it into use 4 days back There is a problem with sound very low sound have to put it on speaker to hear the conversation . How can a new brand phone have this problem kindly look into it . Also in this corona time the return/replace window should be a little more relaxed as we senior citizens will not take this risk of using it immediately . Kindly look into the matter asap
","Reviewed in India on 25 August 2020","Defective handset iPhone 11",1,"","84",,,
"R1IB7N8GVVL5EI","Bhawna Dhingra","
  worst phone and worst service..I bought from amazon and new phone had excessive heating issue..tried contacting amazon but no help was given..wasted my money n then had to run after apple people for new phome defect and its been 2 weeks i dont hav my phone..dont buy atleasr from amazon
","Reviewed in India on 24 August 2020","worst product worst service",1,"","80",,,
"RRAH2VM3XZVY1","Achal PH","
  This phone is bit big to hold but good for Android users.As per the design review, the phone is excellent with great camera both normal and wide angle, a good sound quality and the replicate feature was awesome to to copy data from old iPhone to your new iPhone.
","Reviewed in India on 1 October 2019","With a new design and good features",5,"https://images-na.ssl-images-amazon.com/images/I/61a-pTDztCL.jpg
https://images-na.ssl-images-amazon.com/images/I/71meIXuklFL.jpg","77",,,
"R3EYPUAE6B94QG","Arun ","
  I bought the iPhone 11 64gb red and I absolutely love it. The design is insanely good.Lot of reviews say that they received a damaged phone but that is simply not true!!The truth is the phone comes with an outdated iOS and you must update it. Or else your camera won’t be running normally or the video quality won’t be more than 360p( as it was in my case). But once you do a software update, all the bugs gets fixed.Also a lot of them seem to say that the phone gets overheated. I thought mine was getting overheated too. But there’a a difference between it being warm and overheating. The truth is it gets warm if you do intense processing. ( The software update took care of that too and I don’t know how).So don’t worry about buying a iPhone here. A lot of them are freaking out that their phones aren’t functioning properly and they were too quick to write a bad review. Truth is a software update fixes all these people’s complaints.
","Reviewed in India on 15 October 2020","Absolutely LOVE it !!!",5,"","54",,,
"R817MKHJDG5M","little F.","
  Freaking pathetic when the phone was a defective piece and wanted to replace/refund.. they say contact the apple brand and when I go to them they say they don't have any connection since it was bought from Amazon and when I contacted the Amazon someone names ( TANMAYA) was in touch as customer service agent was trying to toss me around here and there ...and when I ask for a denial letter that Amazon and they claim they aren't responsible for this..
","Reviewed in India on 18 October 2020","Lack of customer loyalty and too many faulty devices",1,"","54",,,
"R2T6M8P0NC7ECA","raghu","
  the product is good and working up to expectations....sorry for miss understanding the issue and I was under the impression that the product was defective...as I wasn’t hearing the voice of other person speaking....this happened because of thin flap of covering on screen
","Reviewed in India on 18 January 2020","Awesome product...great price",1,"","78",,,
"R7R1E0Z9WECI6","Amit","
  Awesome phone great camera quality .
","Reviewed in India on 2 October 2019","I phone 11",5,"https://images-na.ssl-images-amazon.com/images/I/61UsolnK1-L.jpg
https://images-na.ssl-images-amazon.com/images/I/61eBe0vwHbL.jpg","69",,,
"R3L3KALG46DJR0","Amazon Customer","
  Do not ,I repeat do not buy iPhone from this retailer. My phone stopped turning on after 2 weeks of purchase . After giving it to the service center it had to be sent to Bangalore where it was replaced and sent back to me again. But I was without my phone for almost a month. My phone is working fine now but all in all it was such a hassle. Never buy an apple product from this  retailer called appario retail pvt ltd.Best to buy it from the store.
","Reviewed in India on 19 October 2020","Good product but do not buy it from this retailer appario retail pvt ltd",1,"","46",,,
"R2H22RXM1WWRF5","Amazon Customer","
  Received faulty phone.Don't buy here, buy from store. I am suffering from a problem with this phone but Amazon is directing me to the iPhone store now rather than return or replacement, so what's the point in purchasing from amazon.
","Reviewed in India on 4 January 2020","Received faulty phone",1,"","64",,,
"R19T9WD4JE1HFD","Kavita Chaudhary","
  The iphone 11 is a good phone every thing is fine but in this budget all the phones are better than it. The main problem is the battery it is long if you dont play any games , if you use the phone for using social media and camera you can go for it .But ya another problem is the refresh rate if you dont know refresh rate it is screen smoothness . it has 60 hz of refresh rate and all the phones in budget have 120 hz to 144 hz . And the build quality is good but if it one times fall from your hand it is gone . Even from a small distance you can get small visual small cracks
","Reviewed in India on 14 October 2020","Read it, it is helpful!!!!",3,"","64",,,
"R3V63NQ2B71XEH","Asha","
  If you are an Android user who wants to move to iOS, then this is the best iPhone you can get without spending unnecessary huge amount on pro versions.I myself would have preferred OLED displays over LCD display on iPhone 11 but I just bought the iPhone 11. Trust me the display is very very good on this phone & with all the same chipset as the pro versions, there's really not much that you are losing.You won't regret this purchase if you want to start using iOS! Everything is very fluid & I like it a lot!! Don't think will be moving to Android in future.
","Reviewed in India on 1 October 2019","Great smartphone! Value for money!! & Premium feel!!!",5,"","54",,,
"R20P1ZEDCTMQ1","NK","
  Received Defective, Screen Bleeding Issue
","Reviewed in India on 18 October 2020","Received Defective, Screen Bleeding Issue",1,"","44",,,
"R191LGVP1KJ83G","Prasanna","
  Beware of Amazon and the seller Appario Retail Private Ltd. Never purchase high end phones from online platform. The phone delivered to me yesterday was in damaged condition with vertical line on the screen.After contacting Amazon I was asked to take a note from authorised Apple service centre. Even after doing the same I was asked by one of the Amazon representative again to get one more letter from service centre. To my surprise, the service centre denied stating they never issue letters, other than the service record sheet. Still waiting for Amazon to process the exchange of iPhone 11.Horrible experience with #Amazon. 😭Rating of 1 star is for Amazon and the seller and not for the phone. Further I don't have idea for battery, face recognition and camera as I was not able to use iphone 11 and till now I have only bitter experience.
","Reviewed in India on 28 August 2020","Damaged Phone Supplied by Amazon",1,"https://images-na.ssl-images-amazon.com/images/I/61XNHoiBNVL.jpg","38",,,
"RSDBIYIC39PGQ","Arin87","
  Dont go by the negative reviews! If you want to go for iphone which can compete with high end android phones, this is the one. I have used the Oneplus 7T for 2.5 months (and sold it) and can say after comparison that the photos that iPhone 11 takes are way better than OP 7T. The battery has been performing really well after all daily chores, youtube, spotify, netflix, etc. I have last charged the phone to 100% at 9.12 pm and as I write this review (12.54 pm next day), I have got 30% left. I used to have an iphone 6s which I used for 4 years after which I bought the OP 7T. Now that I am back to the ios ecosystem, it does feel good! Also, trust me, the transition back to a Liquid Retina display from 90Hz does not feel bad, because Apple has really done a good job is maintaining a crisp and vibrant display in iPhone 11. Go for it guys. Haters will always hate!
","Reviewed in India on 18 December 2019","Best thing that money can buy",5,"","42",,,
"R9YMGZBAB2S7U","Santosh","
  Display is not at par. even after adjusting the colour settings. More of Yellow tint.Screen width is not suitable for e- reading in phone.Top notch is disturbance for watching videos in full screen.Keyboard is occupying half of the phone space.Camera, I think my expectations are on higher side.Side button disconnects the call and doesn’t lock the screen during the calls.However phone performance and sound are good.In my opinion I should have waited for iPhone 12.
","Reviewed in India on 15 October 2020","Average",3,"","34",,,
"R31SON0S4OSE3N","Lalit 009","
  My mom got this phone after using oneplus 5t for 2 years and for change she wanted to try iOS. As she is not a heavy user and not a pixel peeper and also inclines towards fancy colored phones[previously lava red 5t] I thought of advising her to go for iPhone 11. Now coming to the phone or should I say iPhone, it is really a good one fulfilling many of its duties; I'll just list out a few points regarding the phone:Pros:A great camera with realistic colors[not highly saturated]The best video recording on a mobile[as of Feb 2020]Somewhere between great to excellent battery lifeThe software experience is great if you're into ""apple way"" of things and the whole experience is just FLUIDICThe phone feels expensive and gives you a feel-good factor and also the build is pretty stellar even if some people are commenting that it's sides are alluminium and not steel.Cons:Many buyers and even youtubers are saying that the display is great and you wont notice the difference in day to day life but I dont want to sugarcoat things! The display is DECENT and NOT great! In day to day life with texting applications and general usage of phone you wont feel any difference, that is correct, BUT when you get into media apps like youtube, NETFLIX, ... etc you will notice the difference of lower resolution. there's just no escaping that fact.You will also notice a great difference in screenshots containing text.The display, in my opinion, would be the main deal breaker for me but in my case the phone is for my mom and she's not a tech geek and she's loving the purple color and the camera of the phone.And also if you're into data transferring between your phone and your laptop[windows laptop] this phone will frustrate you for sure. For this I will suggest you to rely on cloud based services and not on manual cable sync process.Conclusion with personal thoughts:Overall the phone is a great one if you're not a tech geek and want the latest iPhone. It's also a great pick for those who want great hardware with flagship tech but prefer watching media on laptop or smart TV.
","Reviewed in India on 21 February 2020","Overall a great phone just not a perfect one.",4,"https://images-na.ssl-images-amazon.com/images/I/71AQCZRVGXL.jpg
https://images-na.ssl-images-amazon.com/images/I/71pTYvsuefL.jpg
https://images-na.ssl-images-amazon.com/images/I/71zoiLbTIqL.jpg","37",,,
"R3NVZJWQLHF09I","Aakash Ashok Ojha","
  First i would like to write about the Online Shopping Platform : AMAZON.Amazon is and i believe will be the best and the most trusted e-commerce brands in the country.Speculations and scepticism about whether or not, you should buy electronics from Amazon, will always be there.But my answer would be, GO FOR IT.I did buy this product from Amazon and it is AUTHENTIC.No doubts remain anymore.Well that being said, nothing is permanent.I TRUST IN AMAZON, when i think about buying anything from Apples to Apple Iphone.Keep it up.Good delivery, on time.Amidst the lockdown wave, starting 13th July, Midnight.I got it on the morning of 13th. So no complaints.Delivery: Good.Product Packaging: Very Good.Notifications: Good.Shopping Experience: Good.About the product, well you guys, know about it very well already.One stop shop for all my shopping needs.AMAZON is the way to go !
","Reviewed in India on 2 August 2020","Trust In Amazon, INTACT !",5,"","31",,,
"R1IGXN3DRQT5SL","pk2013","
  Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware.
","Reviewed in India on 10 August 2020","Beast with a limp",4,"","34",,,
"R26R9PZTJ6THB9","Sushant","
  MRP on product is 69k for 128gb variant but Amazon is selling for 73.6k saying revised price after April’2020. Is this justified?Also I have opted for 6 months no cost emi but when I see my credit card statement entire amount is due. Amazon now claiming that I have not opted for any emi option and asking me whether I took any screenshot while making payment. Such an unprofessional behaviourNow come to the phone-Everything is awesome except whenever you make call or incoming calls the network for that number dies and quality of call is terrible . I am using it as dual sim and not sure if it bcoz of this.Battery also taking too much time to get chargedMobile is heating after half an hour of use
","Reviewed in India on 20 June 2020","Phone Awesome. Amazon Service Bad.",2,"","44",,,
"R17SJ9G5R940NM","Aditya chaudharh","
  I want to return the product because it looks like a refurbished one however no one is contacting with me not taking order. Please do no buy it because its not a new product and also you can not return it
","Reviewed in India on 6 August 2020","Refurbished prod",1,"","36",,,
"R197TE2QY9NWW4","Amazon Customer","
  NEVER GO FOR AMAZON IF IT'S I PHONE....Had some issues with lock screen... When informed and asked for replacement, Amazon agents said me to visit a I store...There is more chance of getting a refurbished phone in the name of new phone... Be careful... Don't buy goods of this worth from online sites...
","Reviewed in India on 25 September 2020","BAD EXPERIENCE WITH AMAZON",1,"","31",,,
"R2CTB8LSBEYN2R","Geet chopra","
  Phenomenal is the word , apple finally clicks in India with its predatory pricing and top notch feature which makes it hard to let go.The battery is running strong and the added extra camera is a plus. Apple you aced this one.
","Reviewed in India on 30 September 2019","The best is here !",5,"","39",,,
